Time,T0,T1,T2,T3,T4,T5,T6
0.0,13.997073054059753,10.987763396157172,9.147977376694255,9.239615869103691,9.922525217901631,10.210084389543193,10.122829905187238
900.0,13.987275480255972,11.12328686249497,9.235319651669222,9.226128537792977,9.889561351247805,10.196047327774867,10.130347455941077
1800.0,13.96407409615271,11.255929296740403,9.28241856009792,9.224727060114875,9.857915035352706,10.189632460458007,10.134728612960068
2700.0,13.929682583653864,11.379664298609866,9.364577263832341,9.212978578273425,9.827758849233968,10.172114034847635,10.139194586036897
3600.0,13.854918617032991,11.503866896877389,9.43697650448194,9.232285620661186,9.79599989780546,10.166952400214992,10.149933819141511
4500.0,13.791634815656659,11.60276650202662,9.515316409799498,9.22150074128855,9.77675737993481,10.14674986239128,10.159828065956225
5400.0,13.68602934240097,11.708465735137299,9.604166627547576,9.229410496770734,9.760147334073293,10.141084862644446,10.144942760260605
6300.0,13.58333446207405,11.812513797895065,9.691099506818068,9.243249423309782,9.731839893209408,10.121654557224474,10.149992452173414
7200.0,13.458972499681783,11.916110668286379,9.772466360611338,9.250708628035206,9.714753663077785,10.106448312844616,10.155920536138536
8100.0,13.323164467704384,11.987088491074283,9.861724995891608,9.268605267193816,9.690723711740196,10.082686467475733,10.151931790558605
9000.0,13.17552756338825,12.064538717710528,9.950576288313343,9.298315876131982,9.66829232643842,10.079840632234703,10.143064902835542
9900.0,13.005658097506355,12.11801232861867,10.042908123065411,9.310336677217272,9.644746549704596,10.054217960677537,10.149623975860692
10800.0,12.825405039945997,12.185797289783904,10.134704471499456,9.336799826494863,9.62743551429954,10.038864829193205,10.147527167973452
11700.0,12.63303171494128,12.233512647439188,10.219015585881023,9.363702610540004,9.610074779079628,10.026528187253788,10.145345231529896
12600.0,12.424968255990548,12.27068111844677,10.30047803230321,9.381627722808162,9.593522228157932,10.000628836550694,10.139977082670542
13500.0,12.222863554589448,12.27851389253714,10.389631808363871,9.421426895693772,9.581000196778986,9.98372489706839,10.140046025627809
14400.0,11.99445944570789,12.304916879152856,10.469190748218155,9.458853553655294,9.573600227504908,9.973848782618624,10.11603145023991
15300.0,11.752031858558077,12.309920536027402,10.554883927140175,9.489449534500409,9.549866107590388,9.953965229027657,10.125461416308056
16200.0,11.53352657954414,12.319696127233378,10.632578881272828,9.532328573055151,9.557007454062049,9.948414207840573,10.116405812727225
17100.0,11.275444498938686,12.305167975015461,10.715696159508123,9.564319558161761,9.54890419706647,9.928176470157858,10.120889675087492
18000.0,11.033473043840392,12.277350655201106,10.784453848743839,9.618918255062827,9.539418478633975,9.895803601496668,10.108589236693655
18900.0,10.7780378844528,12.241767419072335,10.841035865132573,9.664802614871654,9.54624769878889,9.894568267708827,10.095520037309466
19800.0,10.51337762854034,12.213213120712147,10.913570709629587,9.702400626455134,9.549683444095415,9.876040546756405,10.082915545009914
20700.0,10.261099911817059,12.162746380828867,10.971847772876647,9.748806181213634,9.556774367800557,9.864695622639742,10.07341684435644
21600.0,9.993314723096727,12.09863731956534,11.034075910727795,9.802302129027739,9.55168411831215,9.847307446391177,10.079704362649062
22500.0,9.738491018145961,12.024176185830159,11.076460695085466,9.849846621834358,9.555018135308538,9.822391811806044,10.06255162007164
23400.0,9.476456210445347,11.94701144694576,11.12772372029275,9.896944452995726,9.570640546139362,9.82192059659657,10.054711933267532
24300.0,9.224268897858812,11.863616957573878,11.184366148127348,9.944210533952658,9.585397627369193,9.805868384806887,10.043591378443585
25200.0,8.956185438851337,11.778128247318678,11.225619125472619,10.007174629755148,9.583975287033217,9.793784506803627,10.037718542592417
26100.0,8.705252572171368,11.680729040548421,11.253954937781879,10.066812863357082,9.603138194493301,9.801422368451595,10.039572061089856
27000.0,8.464504893766907,11.560851818792656,11.286318754466837,10.104534333371376,9.6273579012014,9.776254807193725,10.013987737855334
27900.0,8.229377802740126,11.451690358247392,11.301329572757167,10.15080106948261,9.640729374693713,9.778556291832233,10.001886043140777
28800.0,8.000635994824188,11.323025344902259,11.333138506950526,10.20258173692815,9.652160002504806,9.759763296895136,10.005019560922984
29700.0,7.774166642754082,11.180358838997735,11.335591093545219,10.264968857186028,9.679260692527247,9.75976994037768,9.98926004600262
30600.0,7.564452380188744,11.075736073440192,11.34560868945861,10.316066102741543,9.69623171001596,9.759974680168495,9.973973405796015
31500.0,7.349163550579809,10.928045420922107,11.3493911829316,10.345725158705843,9.726246047409859,9.742348707280225,9.972500642127867
32400.0,7.166664607303503,10.776954955776823,11.328825150556078,10.398249347462622,9.747056601830828,9.7458541740685,9.953791082209811
33300.0,6.990614625044603,10.638854740638534,11.325177563409321,10.446745184839921,9.772480659506305,9.748723976757605,9.955742797445959
34200.0,6.831616346150415,10.486999002635162,11.299996693584678,10.47907174398816,9.781133104484441,9.740758449673942,9.947984267444161
35100.0,6.669231345704776,10.347557184064348,11.286241358155564,10.513303989791481,9.835896665182139,9.73545946448153,9.929084023618376
36000.0,6.531485936375463,10.194702232105522,11.247362160591166,10.55893213932826,9.84931970180789,9.74441178577671,9.92060161019063
36900.0,6.411286216609792,10.0435166492759,11.229193654128197,10.582761272537555,9.885414636154977,9.734862072553243,9.9064834170491
37800.0,6.302739033904455,9.885558640843172,11.19286289467242,10.618401217403623,9.911630009939367,9.748239617956386,9.906385176900695
38700.0,6.205907027142085,9.739190234197267,11.138330892450965,10.64299985438495,9.934319963635094,9.752959610605158,9.89954898659843
39600.0,6.128371488604653,9.579808816102846,11.097247478513987,10.678344165462768,9.958540929995923,9.75237785463462,9.89655611004804
